country,year,group,income_share
United States,2013,top10,0.449
United States,2014,bottom50,0.1314
United States,2014,top10,0.4558
United States,2015,bottom50,0.1321
United States,2015,top10,0.455
United States,2016,bottom50,0.1295
United States,2016,top10,0.4536
United States,2017,bottom50,0.1348
United States,2017,top10,0.4546
United States,2018,bottom50,0.1334
United States,2018,top10,0.4581
United States,2019,bottom50,0.1358
United States,2019,top10,0.4567
United States,2020,bottom50,0.137
United States,2020,top10,0.4461
United States,2021,bottom50,0.1346
United States,2021,top10,0.4607
United States,2022,bottom50,0.1334
United States,2022,top10,0.4686
United States,2023,bottom50,0.1344
United States,2023,top10,0.4676
United States,2024,bottom50,0.1344
United States,2024,top10,0.4676
