country;variable;percentile;year;value;age;pop;data_quality
US;sptincj992;p0p50;2010;0.1387;992;j;5
US;sptincj992;p90p100;2010;0.4381;992;j;5
US;sptincj992;p0p50;2011;0.1356;992;j;5
US;sptincj992;p90p100;2011;0.4426;992;j;5
US;sptincj992;p0p50;2012;0.1315;992;j;5
US;sptincj992;p90p100;2012;0.4559;992;j;5
US;sptincj992;p0p50;2013;0.1345;992;j;5
US;sptincj992;p90p100;2013;0.449;992;j;5
US;sptincj992;p0p50;2014;0.1314;992;j;5
US;sptincj992;p90p100;2014;0.4558;992;j;5
US;sptincj992;p0p50;2015;0.1321;992;j;5
US;sptincj992;p90p100;2015;0.455;992;j;5
US;sptincj992;p0p50;2016;0.1295;992;j;5
US;sptincj992;p90p100;2016;0.4536;992;j;5
US;sptincj992;p0p50;2017;0.1348;992;j;5
US;sptincj992;p90p100;2017;0.4546;992;j;5
US;sptincj992;p0p50;2018;0.1334;992;j;5
US;sptincj992;p90p100;2018;0.4581;992;j;5
US;sptincj992;p0p50;2019;0.1358;992;j;5
US;sptincj992;p90p100;2019;0.4567;992;j;5
US;sptincj992;p0p50;2020;0.137;992;j;5
US;sptincj992;p90p100;2020;0.4461;992;j;5
US;sptincj992;p0p50;2021;0.1346;992;j;5
US;sptincj992;p90p100;2021;0.4607;992;j;5
US;sptincj992;p0p50;2022;0.1334;992;j;5
US;sptincj992;p90p100;2022;0.4686;992;j;5
US;sptincj992;p0p50;2023;0.1344;992;j;5
US;sptincj992;p90p100;2023;0.4676;992;j;5
US;sptincj992;p0p50;2024;0.1344;992;j;5
US;sptincj992;p90p100;2024;0.4676;992;j;5
